a#
huo#伙
huó#
huò#货获祸
huǒ#鈥伙
huō#
ji#輯记计
jí#鶺级极辑
jì#际记计继纪济剂
jǐ#魢挤几虮给
jī#齏齎鸡饥迹讥虮脔绩积机击几
jia#
jiá#鵊颊夹
jià#駕价
jiǎ#鉀
jiā#鎵夹
jian#間见
jiàn#餞閒键鉴践贱见荐舰溅渐剑间
jiǎn#鹼茧简碱检捡拣减俭𡸃
jiān#鶼间艰监歼坚
jiang#
jiàng#醬酱将
jiǎng#桨奖
jiāng#鱂韁缰浆将
jiào#较轿叽觉
jiǎo#脚缴搅
jiāo#鷦骄胶浇娇
jie#
jié#鮚节结洁杰
jiè#届
jiě#
jiē#階阶结
jìn#进劲尽
jǐn#饉谨紧尽卺仅
jīn#
jing#靜静经
jìng#靜靚静镜竞径净
jǐng#頸
jīng#鲸荆茎经惊
jiòng#
jiǒng#
jiōng#駫
jiù#旧
jiǔ#
jiū#鳩鬮纠
jiu#
ju#舉举
jú#
jù#锯据惧剧
jǔ#齟举
jū#驹
juàn#隽绢
juǎn#錈
juān#鵑
jué#觉绝柽决
juè#
juě#
juē#撧
jùn#隽
jǔn#
jūn#鮶军
kǎ#
kā#
kài#忾
kǎi#闓
kāi#開鐦开
kàn#闞
kǎn#轗槛
kān#龕
káng#
kàng#閌鈧
kǎng#骯
kāng#鱇
kào#鮳
kǎo#
kāo#
ke#
ké#殼壳
kè#騍
kě#
kē#疴
kēi#剋
kèn#
kěn#齦恳垦
kēn#
kěng#
kēng#鏗
kòng#
kǒng#
kōng#
kòu#釦
kǒu#
kōu#瞘
kou#
kú#
kù#裤库
kǔ#
kū#
kuà#
kuǎ#
kuā#誇夸
kuài#鱠鄶块会
kuǎi#擓
kuai#
kuǎn#
kuān#髖臗宽
kuáng#鵟
kuàng#矿旷况
kuǎng#
kuāng#
kuí#騤
kuì#饋溃
kuǐ#頍
kuī#亏
kùn#睏
kǔn#閫
kūn#鵾
kuò#鬠阔扩
la#
lá#
là#蜡腊
lǎ#
lā#
lái#麳来
lài#顂赖
lǎi#
lán#闌蓝篮栏拦
làn#鑭烂滥
lǎn#览懒𡒄懔
láng#鋃
làng#閬
lǎng#
lāng#
láo#劳
lào#
lǎo#銠
lāo#撈
le#餎
lè#鰳乐
lē#
lei#
léi#蔂
lèi#類类泪
lěi#垒
lēi#
lèn#
léng#
lèng#
lěng#
lēng#
li#裡里
lí#鹂篱离厘
lì#麗隶莅砾沥栗厉历励丽
lǐ#鱧里礼
liǎ#倆
lián#鰱镰连联怜帘
liàn#练炼恋
liǎn#襝脸
liang#
liáng#輬粮梁凉
liàng#鍄辆谅
liǎng#魎两
liáo#鷯辽疗
liào#
liǎo#釕
liāo#
lie#
lié#
liè#鴷鱲猎栗
liě#
liē#倈
lín#鱗邻临
lìn#閵
lǐn#稟檩懔
ling#靈灵
líng#铃灵
lìng#
lǐng#領岭
līng#
liú#鶹
liù#鷚
liǔ#鋶鉚
liū#
lo#
lón#
long#籠笼
lóng#龍胧笼珑咙
lòng#贚
lǒng#龓隴拢垄笼
lōng#
lou#嘍
lóu#髏楼
lòu#鏤
lǒu#簍搂
lú#鸕芦炉
lù#陆箓禄渌录
lǔ#鹵魯虏卤
lū#擼嚕
lǘ#
lǜ#绿
lǚ#鋁缕吕侣
lu#蘆
luán#鸞鑾峦脔
luàn#亂
luǎn#
lüè#鋝
lún#轮纶
lùn#論
lǔn#
lūn#掄
luo#羅囉
luó#锣逻萝箩
luò#骆络
luǒ#鎯
luō#
ḿ#
m̀#
m̄#嘸
ma#吗妈
má#吗
mà#
mǎ#马蚂码
mā#嬤媽妈
mái#
mài#麥霡迈脉卖
mǎi#買买
mai#賣
mán#鰻馒瞒
màn#鏝
mǎn#蟎满
máng#鋩
màng#
mǎng#
māng#
máo#牦
mào#贸
mǎo#
māo#貓
mao#
me#麼
méi#黴鶥霉没
mèi#
měi#
mei#
men#們门
mén#門
mèn#燜
mēn#悶
méng#鸏
mèng#
měng#黽
mēng#
mí#弥𥅘𠵸
mì#謐秘
mǐ#
mī#
mián#绵
miàn#麪
miǎn#鮸腼
mian#
miáo#鶓
miào#廟
miǎo#
miāo#
mie#
mié#
miè#灭
miē#
min#
mín#
mǐn#鰵閩
míng#鳴
mìng#
mǐng#
ming#
miù#謬
miǔ#
mo#
mó#
mò#殁没
mǒ#
mō#
móu#谋
mòu#
mǒu#
mōu#
mou#謀
mu#
mú#
mù#
mǔ#亩
n#
ń#
ǹ#
ň#
ná#鎿
nà#纳呐
nǎ#
na#
nái#
nài#錼
nǎi#
nai#
nan#難
nán#難
nàn#难
nǎn#
nān#
nang#
náng#饢
nàng#
nǎng#
nāng#
náo#鐃譊
nào#鬧
nǎo#腦恼垴
nāo#
nao#鬧
ne#
nè#訥
néi#
nèi#内
něi#餧
nèn#
néng#
nèng#
něng#
ng#
ńg#
ňg#
ǹg#
ní#齯
nì#
nǐ#拟
nī#
niā#
nián#鮎
niàn#
niǎn#輦躎撵
niān#
niang#
niáng#孃
niàng#釀
niǎng#
niào#
niǎo#鳥
nié#
niè#齧顳蘖
niě#
niē#
nín#
nǐn#
níng#鸋拧宁咛苧柠
nìng#甯泞宁
nǐng#
niú#
niù#
niǔ#鈕纽
niū#
niu#
nóng#農浓农
nòng#
nǒng#繷
nóu#
nòu#
nǒu#
nú#駑
nù#
nǔ#
nǘ#
nǜ#
nǚ#釹
nü#
nuán#
nuàn#餪
nuǎn#餪
nüè#
nún#
nùn#
nuó#
nuò#
nuǒ#
ó#
ò#
ō#
ou#嘔
óu#
òu#漚
ǒu#
ōu#鷗欧
pá#
pà#
pǎ#
pā#
pái#
pài#
pāi#
pán#盘彦
pàn#
pǎn#闆
pān#
pan#盤
páng#龐庞
pàng#
pǎng#
pāng#
páo#
pào#礮疱
pǎo#
pāo#拋抛
péi#赔
pèi#
pěi#
pēi#
pén#
pèn#
pěn#
pēn#噴
peng#
péng#
pèng#
pěng#
pēng#
pí#鵧
pì#鸊鷿辟
pǐ#
pī#鮍
pián#駢
piàn#騙
piǎn#諞
piān#
piáo#
piào#
piǎo#
piāo#
piè#
piě#
piē#
pín#顰贫
pìn#
pǐn#
pīn#
píng#鮃馮评苹凭
pìng#
pǐng#
pīng#
po#潑
pó#
pò#釙
pǒ#駊
pō#頗泼
póu#錇
pòu#
pǒu#
pōu#
pú#鏷仆
pù#鋪
pǔ#鐠朴
pū#鯆扑仆铺
pu#鋪
qi#氣气
qí#齊骑
qì#气忾弃
qǐ#岂启
qī#凄
qiá#
qià#疴
qiǎ#
qiā#
qián#钳钱潜
qiàn#鰜
qiǎn#浅忏
qiān#鵮铅迁谦签牵忏
qian#錢
qiáng#强墙
qiàng#熗
qiǎng#鏹抢强
qiāng#鏘錆枪
qiáo#鐈桥
qiào#翘壳
qiǎo#
qiāo#锹
qié#
qiè#窃
qiě#
qiē#
qín#
qìn#
qǐn#鋟
qīn#駸钦亲
qin#親
qíng#葝
qìng#庆
qǐng#頃请
qīng#轻氢倾
qing#
qióng#穷
qiòng#
qiōng#
qiú#鰽虬
qiù#
qiǔ#
qiū#鶖鰍邺
qu#
qú#鴝
qù#
qǔ#齲詓
qū#麴驱躯趋岖区
quán#鰁权
quàn#劝
quǎn#綣
quān#駩
que#鵲
qué#
què#闕确却
quē#
qún#
qǔn#
qūn#
r#兒
rán#
ràn#
rǎn#𠱞
ran#
ráng#
ràng#讓
rǎng#
ráo#饒
rào#繞
rǎo#擾扰绕
ré#
rè#熱
rě#
rén#
rèn#飪认
rěn#
ren#
réng#
rèng#
rēng#
rì#馹
róng#荣绒
ròng#
rǒng#
rōng#
róu#
ròu#
rǒu#
rú#鴽
rù#
rǔ#
ruá#
ruán#
ruàn#
ruǎn#
ruí#
ruì#鋭兑棁
ruǐ#
rún#
rùn#閏潤润
rǔn#
ruó#
ruò#
sa#
sà#颯萨
sǎ#洒
sā#
sài#賽
sǎi#㘔
sāi#鰓
san#
sàn#閐
sǎn#饊鏾伞
sān#鬖
sàng#喪
sǎng#顙
sāng#
sào#扫
sǎo#掃
sāo#鱢鰺
sao#
sè#飋
sěn#
sēn#槮
sèng#
sēng#
shà#厦
shǎ#𧫝
shā#鯊魦纱榝杀刹
shài#曬晒
shǎi#摋
shāi#筛
shán#
shàn#鱔
shǎn#陝闪
shān#邓删膻栅
shang#
shàng#緔
shǎng#
shāng#伤
shao#
sháo#
shào#绍
shǎo#
shāo#裢烧
shé#
shè#设摄
shě#捨
shē#輋賒
shén#
shèn#鋠渗
shěn#审婶
shēn#绅参
shen#嬸婶
shéng#
shèng#胜垩圣
shěng#
shēng#声𠴢
sheng#聲声
shi#識视实势
shí#蚀时实识
shì#释适试视弑势
shǐ#駛
shī#鳾诗狮湿师尸
shòu#鏉綬寿兽
shǒu#
shōu#
shou#
shú#贖
shù#竖树术数
shǔ#属数
shū#输枢书
shu#數数
shuà#
shuǎ#
shuā#
shuài#帥帅
shuǎi#
shuāi#
shuàn#
shuān#閂
shuàng#
shuǎng#
shuāng#鸘双
shuí#誰
shuì#涚捝
shuǐ#
shùn#
shǔn#
shuó#
shuò#鑠鎙烁
shuō#説
sí#
sì#騃駟饲
sǐ#
sī#鷥丝
si#
sóng#㞞
sòng#餸诵讼
sǒng#聳耸
sōng#鬆鍶松
sou#
sòu#
sǒu#藪籔
sōu#騪餿
su#訴
sú#
sù#鷫肃诉
sǔ#
sū#蘇苏
suàn#
suǎn#
suān#痠
suan#
suí#隨
suì#岁
suǐ#
suī#雖虽
sùn#
sǔn#笋损
sūn#孙
suo#
suó#
suò#
suǒ#鎖琐
suō#缩
tá#
tà#韃䑽
tǎ#鰨獺
tā#
tái#鮐駘台
tài#鈦态
tǎi#
tāi#
tai#
tán#顃谈昙弹
tàn#賧叹
tǎn#鉭
tān#貪滩摊
tan#彈弹
táng#
tàng#鐋烫
tǎng#钂
tāng#汤
tang#湯
táo#騊
tào#
tǎo#討
tāo#韜涛
tè#鋱
téng#鰧騰腾
tèng#
tēng#
teng#騰
ti#屜
tí#鷤鶗题
tì#
tǐ#體体
tī#鷉
tián#
tiàn#
tiǎn#靦鍩
tiān#
tian#
tiáo#齠鰷条调
tiào#粜
tiǎo#誂
tiāo#
tié#
tiè#
tiě#铁
tiē#
tíng#
tìng#
tǐng#頲
tīng#听厅
ting#聽
tong#
tóng#鮦铜
tòng#慟
tǒng#統
tōng#
tóu#頭緰头
tòu#綉
tǒu#
tōu#鍮
tou#頭
tu#
tú#图涂
tù#
tǔ#釷
tū#鵚秃
tuán#团
tuàn#
tuǎn#痪
tuān#
tuí#頽
tuì#蜕
tuǐ#
tuī#
tún#魨飩炖
tùn#
tǔn#
tūn#吴
tuo#駝
tuó#鼉驮驼
tuò#蘀
tuǒ#椭
tuō#飥脱棁捝托
wa#
wá#
wà#襪袜腽
wǎ#
wā#洼
wai#
wài#
wǎi#
wāi#
wán#頑
wàn#錽万
wǎn#輓
wān#湾弯
wang#
wáng#
wàng#
wǎng#輞网
wāng#
wei#蝟
wéi#韋违维围为
wèi#谓卫为
wěi#鮪苇纬伪伟
wēi#鰃
wén#闻纹
wèn#揾
wěn#稳殁煴愠
wēn#鰛温榅蕰
wen#問
wèng#甕瓮
wěng#
wēng#鶲
wò#齷卧媪
wǒ#
wō#蝸蜗窝涡
wòng#
wu#務误
wú#芜无吴
wù#鶩雾误揾恶务
wǔ#鵡
wū#鴮诬呜乌
xi#
xí#鰼驨袭习
xì#鬩细戏
xǐ#
xī#鸂锡腊牺卤
xiá#狭峡
xià#吓
xiǎ#
xiā#鰕虾
xia#
xian#
xián#鹹闲衔咸
xiàn#麲馅羡线现献宪县见
xiǎn#顯险显
xiān#纤籼
xiáng#
xiàng#
xiǎng#鯗鮝响
xiāng#驤镶厢乡
xiáo#
xiào#啸
xiǎo#謏篠晓
xiāo#鴞销箫
xié#頡胁携挟协
xiè#谢榝
xiě#寫写
xiē#蝎
xie#謝
xín#鐔寻
xìn#衅
xǐn#
xīn#锌
xin#
xíng#餳陘
xìng#興兴
xǐng#
xīng#騂兴
xing#
xióng#
xiòng#詗
xiǒng#
xiōng#訩汹凶
xiong#
xiú#
xiù#鏽绣
xiǔ#綇
xiū#鵂
xu#
xú#
xù#鱮续绪叙
xǔ#许
xū#须虚嘘吁
xuǎ#
xuán#悬
xuàn#绚
xuǎn#選选暅
xuān#亘
xué#鷽学
xuè#謔
xuě#鱈
xuē#
xun#訓
xún#鱘询寻
xùn#逊讯训
xūn#
ya#
yá#
yà#齾轧讶亚
yǎ#掗哑
yā#压
yán#颜盐岩严
yàn#鴳验艳彦厌
yǎn#龑齴𠆲捝
yān#閹腌烟
yáng#阳杨扬
yàng#样
yǎng#駚養痒养
yāng#鴦
yáo#鰩餚遥谣肴窑瑶摇
yào#鷂钥药
yǎo#齩
yāo#
ye#爺
yé#鋣爷
yè#页叶业邺
yě#
yē#
yi#
yí#飴遗仪
yì#谊译议艺忆异亿义
yǐ#蚁
yī#医
yín#齗鷣银
yìn#鮣
yǐn#飲隐
yīn#駰阴
ying#蠅应
yíng#贏营萤莹
yìng#应
yǐng#頴
yīng#鸚应婴
yo#嚛喲哟
yō#喲
yóng#鰫顒
yòng#醟佣
yǒng#鯒涌
yōng#鱅拥佣
yong#
you#
yóu#鮋魷铀邮犹游
yòu#诱
yǒu#銪
yōu#忧优奥
yú#鱼舆渔娱余于
yù#鷸预郁誉狱昙奥吁与
yǔ#齬语屿俣与
yū#
yuán#黿鶰缘圆园员𨸘
yuàn#願愿
yuǎn#遠远
yuān#鵷
yuan#
yuè#阅跃粤悦岳蜕乐
yuě#
yuē#約
yue#
yún#雲氲匀云
yùn#餫韻运蕴蕰愠煴榅
yǔn#愠媪
yūn#頵蒀煴晕
zá#杂籴
zà#
zǎ#
zā#鉔
zài#
zǎi#载
zāi#灾
zan#
zán#
zàn#鏨赞暂
zǎn#趲攒
zān#
zàng#脏
zǎng#髒駔
zāng#贓脏
záo#鑿
zào#皂灶
zǎo#枣
zāo#
zé#齰责择则
zè#
zéi#鰂鯽贼
zèn#譖
zěn#
zēn#
zèng#鋥贈
zěng#
zēng#
zha#
zhá#
zhà#詐栅咤
zhǎ#鮺鮓
zhā#
zhái#
zhài#债
zhǎi#
zhāi#齋
zhán#
zhàn#驏战占
zhǎn#颭盏崭
zhān#鸇鱣毡
zhan#
zhàng#賬胀帐涨
zhǎng#鞝涨
zhāng#鱆张
zhang#
zháo#
zhào#趙
zhǎo#
zhāo#
zhe#
zhé#鮿
zhè#鷓這这
zhě#
zhē#
zhén#
zhèn#鴆阵镇
zhěn#诊𥅘
zhēn#针侦
zheng#
zhèng#鄭郑证挣
zhěng#
zhēng#鯖筝睁狰挣征争
zhí#跖职执
zhì#鷙质掷帜
zhǐ#纸
zhī#鴲织
zhi#
zhòng#諥众种
zhǒng#腫肿种
zhōng#钟终
zhou#
zhóu#軸
zhòu#驟皱昼
zhǒu#鯞
zhōu#鵃
zhú#烛
zhù#铸苧筑泞柠
zhǔ#嘱𧉞
zhū#诸猪
zhuǎ#
zhuā#
zhuài#
zhuǎi#
zhuāi#
zhuàn#饌转传
zhuǎn#轉
zhuān#鱄顓砖专
zhuàng#狀壮
zhuǎng#
zhuāng#裝桩庄
zhui#綴
zhuì#坠
zhuǐ#
zhuī#騅
zhùn#
zhǔn#準准
zhūn#諄
zhuó#鵫浊
zhuò#
zhuō#棁
zi#
zí#
zì#眦
zǐ#釨
zī#资咨
zòng#錝粽
zǒng#蓯总偬
zōng#踪综
zong#
zòu#
zǒu#
zōu#
zú#鏃
zù#
zǔ#组
zū#
zuàn#
zuǎn#纘
zuān#鑽
zuí#
zuì#
zuǐ#
zuī#
zui#
zùn#
zǔn#
zūn#鷷鱒
zuo#
zuó#
zuò#飵
zuǒ#繓
zuō#
